id,name,store,price,type,units,package weight,price for unit
1,сахар,лента,62.99,продукты,г,1000.0,6.299
2,печенье на декор,лента,89.99,декор,уп,1.0,89.99
3,сгущенка рогачев,лента,164.99,продукты,мл,370.0,44.5918918918919
4,малина и голубика в сердце,перекресток,579.99,декор,уп,1.0,579.99
5,яйцо с1 окское,лента,109.99,продукты,шт,10.0,10.998999999999999
6,мука макфа 2 кг,лента,139.99,продукты,г,2000.0,6.999500000000001
7,карамель топпинг,лента,99.99,продукты,г,300.0,33.33
8,арахис соленый 50 г,лента,29.99,продукты,г,50.0,59.98
9,арахис соленый 150 г,лента,49.99,продукты,г,150.0,33.32666666666667
10,желатин dr.bakers,лента,54.99,продукты,г,10.0,549.9
11,сливки 20%,лента,199.99,продукты,мл,500.0,39.998000000000005
12,сгущенка вареная лента,лента,139.99,продукты,мл,370.0,37.83513513513514
13,мука макфа 1 кг,лента,74.99,продукты,г,1000.0,7.499
14,шоколад молочный alpen gold 80 г,лента,89.99,продукты,г,80.0,112.4875
15,ежевика 125 г,лента,399.99,декор,г,125.0,319.992
16,голубика артфрут 125 г,лента,259.99,декор,г,125.0,207.99200000000002
17,малина артфрут 125 г,лента,499.99,декор,г,125.0,399.992
18,персики половинки лента,лента,219.99,продукты,мл,850.0,25.881176470588237
19,тесто слоеное бездрожжевое,лента,119.99,продукты,уп,1.0,119.99
20,сметана 20%,лента,79.99,продукты,г,300.0,26.66333333333333
21,молоко лента 3.2%,лента,89.99,продукты,мл,1000.0,8.999
22,вода питьевая 5 л святой источник,лента,134.99,продукты,мл,5000.0,2.6998
23,сгущенка главпродукт,лента,179.99,продукты,мл,370.0,48.645945945945954
24,клубника ,перекресток,349.99,декор,г,200.0,174.995
25,малина,перекресток,459.99,декор,г,125.0,367.992
26,голубика ,перекресток,179.99,декор,г,125.0,143.99200000000002
27,масло сливочное экомилк 350 г,лента,399.99,продукты,г,350.0,114.28285714285714
28,масло сливочное экомилк 180 г,лента,129.99,продукты,г,180.0,72.21666666666667
29,орехи грецкие,лента,799.99,продукты,г,1000.0,79.99900000000001
30,масло подсолнечное слобода,лента,139.99,продукты,мл,1000.0,13.999000000000002
31,сок яблочный сады придонья,лента,99.99,продукты,мл,1000.0,9.999
32,морковь,лента,34.99,продукты,г,1000.0,3.4990000000000006
33,конфеты toffifee,лента,164.99,декор,уп,1.0,164.99
34,ананасы кольцами лента 580 мл,лента,179.99,продукты,мл,580.0,31.03275862068966
35,мед лента,лента,159.99,продукты,г,500.0,31.998000000000005
36,яйцо с1 365 дней,лента,89.99,продукты,шт,10.0,8.998999999999999
37,сок яблочный 200 мл,лента,15.99,продукты,мл,200.0,7.995
38,вода питьевая святой источник,пятерочка,169.99,продукты,мл,5000.0,3.3998000000000004
39,сгущенка рогачев,пятерочка,129.99,продукты,мл,370.0,35.13243243243244
40,яйцо с1,пятерочка,89.99,продукты,шт,10.0,8.998999999999999
41,мука макфа 2 кг,пятерочка,119.99,продукты,г,2000.0,5.9995
42,сыр сливочный хохланд 220 г,пятерочка,179.99,продукты,г,220.0,81.81363636363636
43,сахар,пятерочка,64.99,продукты,г,1000.0,6.499
44,маршмело zerfer duo,ярче,59.99,декор,г,90.0,66.65555555555557
45,драже ассорти,ярче,999.9,декор,г,1000.0,99.99000000000001
46,сметана простоквашино 20%,пятерочка,104.99,продукты,г,300.0,34.99666666666666
47,сыр сливочный хохланд 220 г,лента,169.99,продукты,г,220.0,77.26818181818182
48,шоколад rit sport,лента,169.99,декор,шт,1.0,169.99
49,яйцо с0 365 дней ,лента,279.99,продукты,шт,30.0,9.333
50,ванилин haas 1.5г,лента,6.99,продукты,г,1.5,466.00000000000006
51,кокосовая стружка,лента,20.99,декор,г,50.0,41.98
