id;name;packing;store;price;type
1;сахар;1 кг;лента;62.99;продукты
2;печенье на декор;1 упаковка;лента;89.99;декор
3;сгущенка рогачев;370 мл;лента;164.99;продукты
4;малина и голубика в сердце;1 упаковка;перекресток;579.99;декор
5;яйцо с1 окское;10 шт;лента;109.99;продукты
6;мука макфа 2 кг;2 кг;лента;139.99;продукты
7;карамель топпинг;300 г;лента;99.99;продукты
8;арахис соленый 50 г;50 г;лента;29.99;продукты
9;арахис соленый 150 г;150 г;лента;49.99;продукты
10;желатин dr.bakers;10 г;лента;54.99;продукты
11;сливки 20%;0.5 л;лента;199.99;продукты
12;сгущенка вареная лента;370 мл;лента;139.99;продукты
13;мука макфа 1 кг;1 кг;лента;74.99;продукты
14;шоколад молочный alpen gold 80 г;80 г;лента;89.99;продукты
15;ежевика 125 г;125 г;лента;399.99;декор
16;голубика артфрут 125 г;125 г;лента;259.99;декор
17;малина артфрут 125 г;125 г;лента;499.99;декор
18;персики половинки лента;850 мл;лента;219.99;продукты
19;тесто слоеное бездрожжевое;1 упаковка;лента;119.99;продукты
20;сметана 20%;300 г;лента;79.99;продукты
21;молоко лента 3.2%;1 л;лента;89.99;продукты
22;вода питьевая 5 л святой источник;5 л;лента;134.99;продукты
23;сгущенка главпродукт;370 мл;лента;179.99;продукты
24;клубника ;200 г;перекресток;349.99;декор
25;малина;125 г;перекресток;459.99;декор
26;голубика ;125 г;перекресток;179.99;декор
27;масло сливочное экомилк 350 г;350 г;лента;399.99;продукты
28;масло сливочное экомилк 180 г;180 г;лента;129.99;продукты
29;орехи грецкие;1 кг;лента;799.99;продукты
30;масло подсолнечное слобода;1 л;лента;139.99;продукты
31;сок яблочный сады придонья;1 л;лента;99.99;продукты
32;морковь;1 кг;лента;34.99;продукты
33;конфеты toffifee;1 упаковка;лента;164.99;декор
34;ананасы кольцами лента 580 мл;580 мл;лента;179.99;продукты
35;мед лента;500 г;лента;159.99;продукты
36;яйцо с1 365 дней;10 шт;лента;89.99;продукты
37;сок яблочный 200 мл;200 мл;лента;15.99;продукты
38;вода питьевая святой источник;5 л;пятерочка;169.99;продукты
39;сгущенка рогачев;370 мл;пятерочка;129.99;продукты
40;яйцо с1;10 штук;пятерочка;89.99;продукты
41;мука макфа 2 кг;2 кг;пятерочка;119.99;продукты
42;сыр сливочный хохланд 220 г;220 г;пятерочка;179.99;продукты
43;сахар;1 кг;пятерочка;64.99;продукты
44;маршмело zerfer duo;90 г;ярче;59.99;декор
45;драже ассорти;1 кг;ярче;999.9;декор
46;сметана простоквашино 20%;300 г;пятерочка;104.99;продукты
47;сыр сливочный хохланд 220 г;220 г;лента;169.99;продукты
48;шоколад rit sport;1 шт;лента;169.99;декор
49;яйцо с0 365 дней ;30 шт;лента;279.99;продукты
50;ванилин haas 1.5г;1,5 г;лента;6.99;продукты
51;кокосовая стружка;50 г;лента;20.99;декор
52;мука яшкино 2 кг;2 кг;ярче;115.99;продукты
53;сахар;1 кг;ярче;89.99;продукты
